side,firstblood,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,firstdragon,firstherald,firsttower,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,firstbaron,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,result
1,0.0,-381.0,-116.0,-11.0,1.0,3.0,1.0,1.0,1.0,1.0,1476.0,811.0,-6.0,3.0,6.0,1.0,2581.0,449.0,-33.0,4.0,8.0,2.0,1.0,5646.0,3268.0,-13.0,7.0,19.0,3.0,1
0,1.0,381.0,116.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,-1476.0,-811.0,6.0,1.0,2.0,3.0,-2581.0,-449.0,33.0,2.0,5.0,4.0,0.0,-5646.0,-3268.0,13.0,3.0,9.0,7.0,0
1,1.0,1583.0,554.0,7.0,4.0,8.0,0.0,0.0,1.0,0.0,1993.0,1056.0,5.0,5.0,9.0,0.0,562.0,-1228.0,1.0,9.0,20.0,6.0,0.0,3574.0,2125.0,23.0,14.0,33.0,8.0,0
0,0.0,-1583.0,-554.0,-7.0,0.0,0.0,4.0,1.0,0.0,1.0,-1993.0,-1056.0,-5.0,0.0,0.0,5.0,-562.0,1228.0,-1.0,6.0,7.0,9.0,1.0,-3574.0,-2125.0,-23.0,8.0,12.0,14.0,1
1,0.0,488.0,31.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,958.0,-232.0,-7.0,3.0,7.0,2.0,1804.0,466.0,-21.0,6.0,13.0,3.0,0.0,-39.0,-224.0,-17.0,6.0,13.0,5.0,1
0,1.0,-488.0,-31.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.0,-958.0,232.0,7.0,2.0,3.0,3.0,-1804.0,-466.0,21.0,3.0,6.0,6.0,1.0,39.0,224.0,17.0,5.0,12.0,6.0,0
1,0.0,-429.0,-491.0,-15.0,1.0,2.0,1.0,1.0,1.0,1.0,1406.0,557.0,2.0,4.0,9.0,2.0,864.0,-196.0,12.0,4.0,9.0,4.0,1.0,-4250.0,-4717.0,-21.0,4.0,9.0,9.0,1
0,1.0,429.0,491.0,15.0,1.0,2.0,1.0,0.0,0.0,0.0,-1406.0,-557.0,-2.0,2.0,5.0,4.0,-864.0,196.0,-12.0,4.0,7.0,4.0,0.0,4250.0,4717.0,21.0,9.0,23.0,4.0,0
1,0.0,83.0,-478.0,-11.0,1.0,1.0,1.0,1.0,0.0,0.0,-694.0,-772.0,-3.0,3.0,6.0,4.0,-1318.0,1689.0,3.0,4.0,8.0,5.0,1.0,1740.0,5057.0,11.0,9.0,23.0,5.0,1
0,1.0,-83.0,478.0,11.0,1.0,1.0,1.0,0.0,1.0,1.0,694.0,772.0,3.0,4.0,8.0,3.0,1318.0,-1689.0,-3.0,5.0,11.0,4.0,0.0,-1740.0,-5057.0,-11.0,5.0,11.0,9.0,0
1,1.0,827.0,-80.0,27.0,2.0,3.0,3.0,1.0,1.0,1.0,3135.0,344.0,53.0,6.0,13.0,5.0,6207.0,2104.0,66.0,9.0,22.0,6.0,1.0,11901.0,8165.0,112.0,16.0,43.0,7.0,1
0,0.0,-827.0,80.0,-27.0,3.0,3.0,2.0,0.0,0.0,0.0,-3135.0,-344.0,-53.0,5.0,7.0,6.0,-6207.0,-2104.0,-66.0,6.0,11.0,9.0,0.0,-11901.0,-8165.0,-112.0,7.0,13.0,16.0,0
1,0.0,766.0,772.0,15.0,3.0,4.0,2.0,0.0,1.0,0.0,674.0,-30.0,-8.0,4.0,6.0,2.0,-749.0,-1715.0,27.0,5.0,6.0,8.0,0.0,-1651.0,-2531.0,23.0,5.0,6.0,9.0,0
0,1.0,-766.0,-772.0,-15.0,2.0,3.0,3.0,1.0,0.0,1.0,-674.0,30.0,8.0,2.0,3.0,4.0,749.0,1715.0,-27.0,8.0,24.0,5.0,1.0,1651.0,2531.0,-23.0,9.0,27.0,5.0,1
1,1.0,-196.0,-382.0,-17.0,0.0,0.0,0.0,0.0,0.0,1.0,-566.0,-1314.0,-22.0,1.0,0.0,1.0,-1407.0,-1520.0,-26.0,3.0,4.0,4.0,0.0,-2156.0,-2064.0,-16.0,4.0,8.0,6.0,0
0,0.0,196.0,382.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,566.0,1314.0,22.0,1.0,1.0,1.0,1407.0,1520.0,26.0,4.0,7.0,3.0,1.0,2156.0,2064.0,16.0,6.0,12.0,4.0,1
1,0.0,-2.0,395.0,5.0,4.0,5.0,4.0,0.0,0.0,0.0,-1550.0,-1079.0,2.0,6.0,9.0,8.0,-3436.0,-3878.0,-9.0,7.0,10.0,12.0,1.0,-2714.0,-2498.0,-9.0,9.0,16.0,12.0,0
0,1.0,2.0,-395.0,-5.0,4.0,3.0,4.0,1.0,1.0,1.0,1550.0,1079.0,-2.0,8.0,9.0,6.0,3436.0,3878.0,9.0,12.0,20.0,7.0,0.0,2714.0,2498.0,9.0,12.0,20.0,9.0,1
